Coin,Model,MAE,RMSE,MAPE,R2,Directional_Accuracy,DA
ADA-USD,Stacking,75.8918,109.7608,2.6682,0.9813,0.476,
ADA-USD,Linear Regression,76.0848,109.8709,2.6674,0.9812,0.4663,0.4663
ADA-USD,Blending,77.2115,111.0517,2.7121,0.9808,0.4696,
ADA-USD,Random Forest,87.2296,121.1428,3.0203,0.9772,0.5417,0.5417
ADA-USD,XGBoost,87.0379,121.5754,3.0406,0.977,0.5401,0.5401
ADA-USD,Inverse Error Weight,90.7386,128.4095,3.039,0.9743,0.5176,
ADA-USD,Weighted Average,133.5052,194.665,4.1116,0.941,0.4936,
ADA-USD,SVR,448.0176,762.3955,12.4197,0.0958,0.4968,0.4968
BTC-USD,Stacking,75.8918,109.7608,2.6682,0.9813,0.476,
BTC-USD,Linear Regression,76.0848,109.8709,2.6674,0.9812,0.4663,0.4663
BTC-USD,Blending,77.2115,111.0517,2.7121,0.9808,0.4696,
BTC-USD,Random Forest,87.2296,121.1428,3.0203,0.9772,0.5417,0.5417
BTC-USD,XGBoost,87.0379,121.5754,3.0406,0.977,0.5401,0.5401
BTC-USD,Inverse Error Weight,90.7386,128.4095,3.039,0.9743,0.5176,
BTC-USD,Weighted Average,133.5052,194.665,4.1116,0.941,0.4936,
BTC-USD,SVR,448.0176,762.3955,12.4197,0.0958,0.4968,0.4968
ETH-USD,Stacking,75.8918,109.7608,2.6682,0.9813,0.476,
ETH-USD,Linear Regression,76.0848,109.8709,2.6674,0.9812,0.4663,0.4663
ETH-USD,Blending,77.2115,111.0517,2.7121,0.9808,0.4696,
ETH-USD,Random Forest,87.2296,121.1428,3.0203,0.9772,0.5417,0.5417
ETH-USD,XGBoost,87.0379,121.5754,3.0406,0.977,0.5401,0.5401
ETH-USD,Inverse Error Weight,90.7386,128.4095,3.039,0.9743,0.5176,
ETH-USD,Weighted Average,133.5052,194.665,4.1116,0.941,0.4936,
ETH-USD,SVR,448.0176,762.3955,12.4197,0.0958,0.4968,0.4968
SOL-USD,Stacking,75.8918,109.7608,2.6682,0.9813,0.476,
SOL-USD,Linear Regression,76.0848,109.8709,2.6674,0.9812,0.4663,0.4663
SOL-USD,Blending,77.2115,111.0517,2.7121,0.9808,0.4696,
SOL-USD,Random Forest,87.2296,121.1428,3.0203,0.9772,0.5417,0.5417
SOL-USD,XGBoost,87.0379,121.5754,3.0406,0.977,0.5401,0.5401
SOL-USD,Inverse Error Weight,90.7386,128.4095,3.039,0.9743,0.5176,
SOL-USD,Weighted Average,133.5052,194.665,4.1116,0.941,0.4936,
SOL-USD,SVR,448.0176,762.3955,12.4197,0.0958,0.4968,0.4968
